site_id,survey_date,pit_tag_id,capture_life_stage,capture_animal_state
72808,2016-08-14,900067000114218,adult,healthy
72808,2016-08-14,900067000114223,adult,healthy
72808,2016-08-14,900067000114225,adult,healthy
72808,2016-08-14,900067000114270,adult,healthy
72336,2016-08-14,900067000114281,adult,healthy
72808,2016-08-14,900067000114287,adult,healthy
72336,2016-08-14,900067000114300,adult,healthy
72336,2016-08-14,900067000114304,adult,healthy
72808,2016-08-14,900067000114310,adult,healthy
72336,2016-08-14,900067000114317,adult,healthy
72336,2016-08-14,900067000114324,adult,healthy
72808,2016-08-14,900067000114325,adult,healthy
72336,2016-08-14,900067000114336,adult,healthy
72336,2016-08-14,900067000114346,adult,healthy
72336,2016-08-14,900067000114352,adult,healthy
72336,2016-08-14,900067000114356,adult,healthy
72808,2016-08-14,900067000114360,adult,healthy
72336,2016-08-14,900067000114361,adult,healthy
72808,2016-08-14,900067000114363,adult,healthy
72336,2016-08-14,900067000114367,adult,healthy
72808,2016-08-14,900067000114368,adult,healthy
72808,2016-08-14,900067000114370,adult,healthy
72808,2016-08-14,900067000114376,adult,healthy
72808,2016-08-14,900067000114378,adult,healthy
72336,2016-08-14,900067000114380,adult,healthy
72808,2016-08-14,900067000114384,adult,healthy
72808,2016-08-14,900067000114424,adult,healthy
72336,2016-08-14,900067000114433,adult,healthy
72336,2016-08-14,900067000114434,adult,healthy
72808,2016-08-14,900067000114453,adult,healthy
72808,2016-08-14,900067000114475,adult,healthy
72336,2016-08-14,900067000114505,adult,healthy
72336,2016-08-14,900067000114537,adult,healthy
72808,2016-08-14,900067000114538,adult,healthy
72336,2016-08-14,900067000114539,adult,healthy
72336,2016-08-14,900043000104430,adult,healthy
72808,2016-08-14,900067000114546,adult,healthy
72336,2016-08-14,900067000114553,adult,healthy
72808,2016-08-14,900067000114560,adult,healthy
72808,2016-08-14,900067000114563,adult,healthy
72808,2016-08-14,900067000114566,adult,healthy
72808,2016-08-14,900067000114572,adult,healthy
72808,2016-08-14,900067000114574,adult,healthy
72336,2016-08-14,900067000114580,adult,healthy
72336,2016-08-14,900067000114601,adult,healthy
72808,2016-08-14,900067000114607,adult,healthy
72336,2016-08-14,900067000114610,adult,healthy
72808,2016-08-14,900067000114625,adult,sick
72336,2016-08-14,900067000114635,adult,healthy
72336,2016-08-14,900067000114642,adult,healthy
72336,2016-08-14,900067000114643,adult,healthy
72808,2016-08-14,900067000114648,adult,healthy
72336,2016-08-14,900067000114659,adult,healthy
72336,2016-08-14,900067000114667,adult,healthy
72808,2016-08-14,900067000114672,adult,healthy
72808,2016-08-14,900067000114678,adult,healthy
72808,2016-08-14,900067000114682,adult,healthy
72336,2016-08-14,900067000114684,adult,healthy
72336,2016-08-14,900067000114702,adult,healthy
72336,2016-08-14,900067000114708,adult,healthy
72336,2016-08-14,900067000114720,adult,healthy
72336,2016-08-14,900067000114739,adult,healthy
72808,2016-08-14,900067000114740,adult,healthy
72336,2016-08-14,900067000114744,adult,healthy
72808,2016-08-14,900067000114762,adult,healthy
72336,2016-08-14,900067000114795,adult,healthy
72336,2016-08-14,900067000114797,adult,healthy
72808,2016-08-14,900067000114808,adult,healthy
72808,2016-08-14,900067000114827,adult,healthy
72808,2016-08-14,900067000114836,adult,healthy
72808,2016-08-14,900067000114847,adult,healthy
72808,2016-08-14,900067000117682,adult,healthy
72808,2016-08-14,900067000117685,adult,healthy
72336,2016-08-14,900067000117686,adult,healthy
72336,2016-08-14,900067000117687,adult,healthy
72336,2016-08-14,900067000117688,adult,healthy
72808,2016-08-14,900067000117691,adult,healthy
72808,2016-08-14,900067000117695,adult,healthy
72808,2016-08-14,900067000117696,adult,healthy
72808,2016-08-14,900067000117701,adult,healthy
72808,2016-08-14,900067000117706,adult,healthy
72808,2016-08-14,900067000117714,adult,healthy
72336,2016-08-14,900067000117715,adult,healthy
72808,2016-08-14,900067000117717,adult,healthy
72808,2016-08-14,900067000117718,adult,healthy
72808,2016-08-14,900067000117720,adult,healthy
72808,2016-08-14,900067000117722,adult,healthy
72808,2016-08-14,900067000117725,adult,healthy
72336,2016-08-14,900067000117727,adult,healthy
72808,2016-08-14,900067000117729,adult,healthy
72808,2016-08-14,900067000117731,adult,healthy
72808,2016-08-14,900067000117738,adult,healthy
72336,2016-08-14,900067000117740,adult,healthy
72336,2016-08-14,900067000117751,adult,healthy
72808,2016-08-14,900067000117756,adult,healthy
72336,2016-08-14,900067000117757,adult,healthy
72808,2016-08-14,900067000117762,adult,healthy
72808,2016-08-14,900067000117763,adult,healthy
72808,2016-08-14,900067000117766,adult,healthy
72336,2016-08-14,900067000117774,adult,healthy
72808,2016-08-14,900067000117778,adult,healthy
72808,2016-08-14,900067000117779,adult,healthy
72336,2016-08-14,91364066,adult,healthy
72808,2016-08-14,97870865,adult,healthy
